#,Time,fIdx,sIdx,sLen,fImg,cObj,cNam,cCon,tcBr,tcCo,tcUs,tcDs
222,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,10,1,-1,-1
223,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,20,1,-1,-1
224,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,30,1,-1,-1
225,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,40,1,-1,-1
226,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,50,1,-1,-1
227,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,60,1,-1,-1
228,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,70,1,-1,-1
229,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
230,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,90,1,-1,-1
231,,..\..\data\highreflection/frame000090.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,100,1,-1,-1
232,,..\..\data\highreflection/frame000100.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
233,,..\..\data\highreflection/frame000100.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
234,,..\..\data\highreflection/frame000100.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
235,,..\..\data\highreflection/frame000100.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
236,,..\..\data\highreflection/frame000100.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
237,,..\..\data\highreflection/frame000100.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,50,1,-1,-1
